check,passed,severity,detail
not_empty,True,ERROR,294 680 записей игроков
schema_columns,True,ERROR,все нужные поля на месте
unique_participant_key,True,ERROR,повторов нет
keys_not_null,True,ERROR,"у всех записей есть матч, игрок и чемпион"
ten_participants_per_match,True,ERROR,в каждом матче 10 игроков
team_id_values,True,ERROR,у всех записей сторона синие или красные
queue_is_ranked_solo,True,ERROR,только рейтинговые одиночные матчи
win_balance[kaggle],True,ERROR,"побед 50.0%, должно быть 50%"
win_balance[riot_api],True,ERROR,"побед 50.0%, должно быть 50%"
win_balance[riot_full],True,ERROR,"побед 50.0%, должно быть 50%"
non_negative_metrics,True,ERROR,отрицательных чисел нет
kda_finite,True,ERROR,KDA посчитан у всех записей
team_position_values,True,WARN,"без роли 0.0% записей, допустимо 5%"
champion_id_in_reference,True,ERROR,все чемпионы есть в справочнике Riot
remake_share,True,WARN,"ремейков 1.3%, допустимо 5%"
freshness,True,WARN,"последний матч 13.09.2026, при сборке прошло 0 дн."
